V,E,ElogE,VlogV,ElogV,VlogE,Iterations
100, 1980, 21683.5, 664.386, 13154.8, 1095.13, 47426
100, 2227, 24766.2, 664.386, 14795.9, 1112.09, 54085
100, 2475, 27901.2, 664.386, 16443.5, 1127.32, 60851
100, 2722, 31059.2, 664.386, 18084.6, 1141.05, 67661
100, 2970, 34262.7, 664.386, 19732.3, 1153.62, 74564
100, 3217, 37482.9, 664.386, 21373.3, 1165.15, 81498
100, 3465, 40743.7, 664.386, 23021, 1175.86, 88516
100, 3712, 44016.8, 664.386, 24662, 1185.8, 95556
100, 3960, 47327.1, 664.386, 26309.7, 1195.13, 102673
100, 4207, 50646.3, 664.386, 27950.7, 1203.86, 109805
100, 4455, 54000, 664.386, 29598.4, 1212.12, 117008
100, 4702, 57360, 664.386, 31239.4, 1219.91, 124222
101, 2020, 22179.9, 672.479, 13449.6, 1108.99, 48498
101, 2272, 25332.2, 672.479, 15127.5, 1126.12, 55307
101, 2525, 28537.7, 672.479, 16812, 1141.51, 62224
101, 2777, 31767, 672.479, 18489.9, 1155.37, 69186
101, 3030, 35042.3, 672.479, 20174.4, 1168.08, 76243
101, 3282, 38334.9, 672.479, 21852.3, 1179.72, 83332
101, 3535, 41668.8, 672.479, 23536.8, 1190.54, 90506
101, 3787, 45015.5, 672.479, 25214.6, 1200.57, 97703
101, 4040, 48399.8, 672.479, 26899.2, 1209.99, 104978
101, 4292, 51793.4, 672.479, 28577, 1218.81, 112269
101, 4545, 55222, 672.479, 30261.6, 1227.16, 119633
101, 4797, 58657.3, 672.479, 31939.4, 1235.02, 127007
102, 2060, 22677.4, 680.587, 13745.2, 1122.86, 49573
102, 2317, 25899.5, 680.587, 15460, 1140.16, 56532
102, 2575, 29175.7, 680.587, 17181.5, 1155.7, 63600
102, 2833, 32489.2, 680.587, 18903, 1169.75, 70743
102, 3090, 35823.6, 680.587, 20617.8, 1182.53, 77926
102, 3348, 39202, 680.587, 22339.3, 1194.33, 85199
102, 3605, 42595.9, 680.587, 24054.1, 1205.21, 92500
102, 3863, 46029.6, 680.587, 25775.6, 1215.38, 99884
102, 4120, 49474.7, 680.587, 27490.4, 1224.86, 107288
102, 4378, 52956.5, 680.587, 29211.9, 1233.8, 114768
102, 4635, 56446.7, 680.587, 30926.7, 1242.19, 122262
102, 4893, 59971.1, 680.587, 32648.2, 1250.16, 129827
103, 2101, 23188.4, 688.71, 14048.3, 1136.8, 50677
103, 2363, 26480.7, 688.71, 15800.2, 1154.26, 57786
103, 2626, 29827.8, 688.71, 17558.8, 1169.94, 65006
103, 2889, 33213, 688.71, 19317.3, 1184.12, 72302
103, 3151, 36619.6, 688.71, 21069.2, 1197.02, 79640
103, 3414, 40071, 688.71, 22827.7, 1208.94, 87068
103, 3677, 43551.5, 688.71, 24586.3, 1219.96, 94556
103, 3939, 47045.9, 688.71, 26338.1, 1230.19, 102068
103, 4202, 50578.9, 688.71, 28096.7, 1239.8, 109660
103, 4465, 54135.6, 688.71, 29855.2, 1248.82, 117300
103, 4727, 57701.1, 688.71, 31607.1, 1257.29, 124955
103, 4990, 61301.3, 688.71, 33365.6, 1265.34, 132681
104, 2142, 23700.7, 696.846, 14352.3, 1150.73, 51784
104, 2410, 27075.9, 696.846, 16148.1, 1168.42, 59070
104, 2678, 30494.2, 696.846, 17943.8, 1184.24, 66443
104, 2945, 33938.3, 696.846, 19732.8, 1198.5, 73865
104, 3213, 37430.5, 696.846, 21528.5, 1211.57, 81386
104, 3481, 40955, 696.846, 23324.2, 1223.59, 88970
104, 3749, 44509.2, 696.846, 25119.9, 1234.72, 96615
104, 4017, 48091.1, 696.846, 26915.7, 1245.08, 104315
104, 4284, 51685.4, 696.846, 28704.7, 1254.73, 112037
104, 4552, 55317.2, 696.846, 30500.4, 1263.84, 119837
104, 4820, 58971.8, 696.846, 32296.1, 1272.42, 127682
104, 5088, 62647.9, 696.846, 34091.8, 1280.54, 135570
105, 2184, 24226.6, 704.996, 14663.9, 1164.74, 52920
105, 2457, 27672.4, 704.996, 16496.9, 1182.58, 60357
105, 2730, 31162.1, 704.996, 18329.9, 1198.54, 67883
105, 3003, 34691.2, 704.996, 20162.9, 1212.98, 75487
105, 3276, 38256.2, 704.996, 21995.9, 1226.16, 83163
105, 3549, 41854.1, 704.996, 23828.9, 1238.29, 90905
105, 3822, 45482.2, 704.996, 25661.8, 1249.51, 98707
105, 4095, 49138.6, 704.996, 27494.8, 1259.96, 106566
105, 4368, 52821.2, 704.996, 29327.8, 1269.74, 114477
105, 4641, 56528.4, 704.996, 31160.8, 1278.92, 122437
105, 4914, 60258.8, 704.996, 32993.8, 1287.58, 130444
105, 5187, 64011.1, 704.996, 34826.8, 1295.77, 138495
106, 2226, 24753.6, 713.16, 14976.4, 1178.75, 54058
106, 2504, 28270.2, 713.16, 16846.7, 1196.74, 61647
106, 2782, 31831.4, 713.16, 18717.1, 1212.84, 69325
106, 3060, 35432.7, 713.16, 20587.4, 1227.41, 77084
106, 3339, 39083.7, 713.16, 22464.5, 1240.75, 84944
106, 3617, 42755, 713.16, 24334.9, 1252.98, 92843
106, 3895, 46457.3, 713.16, 26205.3, 1264.31, 100803
106, 4173, 50188.1, 713.16, 28075.6, 1274.85, 108821
106, 4452, 53959.3, 713.16, 29952.7, 1284.75, 116921
106, 4730, 57742.1, 713.16, 31823.1, 1294.01, 125043
106, 5008, 61548.4, 713.16, 33693.4, 1302.74, 133211
106, 5286, 65377, 713.16, 35563.8, 1311, 141425
107, 2268, 25281.9, 721.337, 15289.6, 1192.75, 55198
107, 2551, 28869.3, 721.337, 17197.5, 1210.9, 62939
107, 2835, 32515, 721.337, 19112.1, 1227.2, 70798
107, 3119, 36201.8, 721.337, 21026.6, 1241.93, 78740
107, 3402, 39912.8, 721.337, 22934.5, 1255.34, 86728
107, 3686, 43671.1, 721.337, 24849, 1267.72, 94813
107, 3969, 47447.6, 721.337, 26756.9, 1279.14, 102932
107, 4253, 51266.8, 721.337, 28671.5, 1289.81, 111138
107, 4536, 55099.7, 721.337, 30579.3, 1299.75, 119370
107, 4820, 58971.8, 721.337, 32493.9, 1309.13, 127682
107, 5103, 62854.3, 721.337, 34401.7, 1317.93, 136013
107, 5387, 66773.3, 721.337, 36316.3, 1326.29, 144419
108, 2311, 25823.8, 729.528, 15610.5, 1206.82, 56368
108, 2600, 29495.2, 729.528, 17562.7, 1225.18, 64289
108, 2889, 33213, 729.528, 19514.9, 1241.61, 72302
108, 3177, 36959.5, 729.528, 21460.3, 1256.41, 80371
108, 3466, 40756.9, 729.528, 23412.4, 1269.98, 88544
108, 3755, 44589.1, 729.528, 25364.6, 1282.46, 96787
108, 4044, 48453.5, 729.528, 27316.8, 1294.01, 105093
108, 4333, 52347.6, 729.528, 29268.9, 1304.76, 113460
108, 4622, 56269.6, 729.528, 31221.1, 1314.82, 121882
108, 4911, 60217.7, 729.528, 33173.3, 1324.27, 130356
108, 5200, 64190.3, 729.528, 35125.4, 1333.18, 138879
108, 5489, 68186.2, 729.528, 37077.6, 1341.61, 147449
109, 2354, 26366.9, 737.732, 15932.3, 1220.9, 57540
109, 2648, 30109.6, 737.732, 17922.2, 1239.4, 65614
109, 2943, 33912.4, 737.732, 19918.8, 1256.01, 73809
109, 3237, 37744.8, 737.732, 21908.6, 1270.99, 82062
109, 3531, 41615.9, 737.732, 23898.5, 1284.66, 90392
109, 3825, 45522.3, 737.732, 25888.3, 1297.24, 98793
109, 4120, 49474.7, 737.732, 27884.9, 1308.92, 107288
109, 4414, 53444.1, 737.732, 29874.8, 1319.76, 115815
109, 4708, 57441.8, 737.732, 31864.6, 1329.9, 124398
109, 5003, 61479.8, 737.732, 33861.2, 1339.45, 133064
109, 5297, 65529, 737.732, 35851.1, 1348.43, 141750
109, 5591, 69601.7, 737.732, 37840.9, 1356.93, 150484
110, 2398, 26923.8, 745.95, 16261.7, 1235.04, 58742
110, 2697, 30738.1, 745.95, 18289.3, 1253.69, 66969
110, 2997, 34613.3, 745.95, 20323.7, 1270.42, 75319
110, 3297, 38531.8, 745.95, 22358.1, 1285.56, 83756
110, 3597, 42489.8, 745.95, 24392.6, 1299.38, 92272
110, 3896, 46470.6, 745.95, 26420.2, 1312.06, 100832
110, 4196, 50498, 745.95, 28454.6, 1323.83, 109487
110, 4496, 54556.4, 745.95, 30489, 1334.79, 118203
110, 4796, 58643.6, 745.95, 32523.4, 1345.04, 126978
110, 5095, 62744.2, 745.95, 34551, 1354.64, 135777
110, 5395, 66884, 745.95, 36585.4, 1363.71, 144657
110, 5695, 71047.9, 745.95, 38619.8, 1372.3, 153584
111, 2442, 27481.9, 754.18, 16592, 1249.18, 59946
111, 2747, 31380.7, 754.18, 18664.3, 1268.02, 68354
111, 3052, 35328.5, 754.18, 20736.6, 1284.88, 76860
111, 3357, 39320.4, 754.18, 22808.9, 1300.14, 85453
111, 3663, 43365.6, 754.18, 24887.9, 1314.11, 94156
111, 3968, 47434.3, 754.18, 26960.2, 1326.92, 102903
111, 4273, 51536.8, 754.18, 29032.5, 1338.77, 111718
